signature_id;severity;description;signature_name
20090;High;"Microsoft Messenger Service is a Windows service that is responsible for sending and receiving ""net send"" messages. The service also handles any messages that are sent via the Alerter service between client and server systems. The Microsoft Messenger Service is not related to MSN Messenger.";NetBIOS MS Messenger Serv. BO (UDP) (1)
20091;High;"Microsoft Messenger Service is a Windows service that is responsible for sending and receiving ""net send"" messages. The service also handles any messages that are sent via the Alerter service between client and server systems. The Microsoft Messenger Service is not related to MSN Messenger.";NetBIOS MS Messenger Serv. BO (TCP)
20092;High;This signature detects Infostealer activity on the infected  machine that could result in the downloading and executing of files from the Internet on a compromised host.;System Infected: Trojan Infostealer Activity 6
20093;Medium;This signature detect an attempt to set TTYPROMPT remotely through Telnet.;Telnet TTYPROMPT BO
20094;High;This signature detects a probe from the infected machine to the master server.;Sobig F Worm Master Probe
20097;High;This event indicates an attempt to TFTP the RPC DCOM worm msblast.exe from an infected computer.;System Infected: Blaster Worm TFTP Backdoor Activity
20098;High;This event indicates an attempt to TFTP the RPC DCOM worm msblast.exe from an infected computer.;Blaster Worm TFTP Backdoor (UDP)
20099;High;This signature detects email propagation of W32.Apost.Worm@mm.;Apost Worm Propagation
20100;High;This signature detects email propagation of W32.Maldal.C@mm.;Maldal C Worm Propagation
20101;High;This signature detects email propagation of W32.Redesi.B@mm.;Redesi B Worm Propagation
20102;High;This signature detects email propagation of W32.Shoho@mm.;Shoho Worm Propagation
20103;High;This signature detects email propagation of W32.Alcarys@mm.;Alcarys Worm Propagation
20104;High;This signature detects email propagation of W32.Aliz.Worm.;Aliz Worm Propagation
20105;High;This signature detects email propagation of W32.Brid.A@mm.;Brid A Worm Propagation
20106;High;This signature detects email propagation of W32.Frethem.L@mm.;Frethem L Worm Propagation
20107;High;This signature detects email propagation of W32.Goner.A@mm.;Goner A Worm Propagation
20108;High;This signature detects email propagation of W32.Klez.H@mm.;Klez H Worm Propagation
20109;High;This signature detects email propagation of W32.Lirva.C@mm.;Lirva C Worm Propagation
20110;High;This signature detects email propagation of W32.Mylife.J@mm.;Mylife J Worm Propagation
20111;High;This signature detects email propagation of W32.Sircam.Worm@mm.;Sircam Worm Propagation
20112;High;This signature detects email propagation of W32.Yaha.F@mm.;Yaha Worm Propagation
20113;High;This signature detects email propagation of W32.Mybabypic.Worm.;Mybabypic Worm Propagation
20115;High;These signatures detect Back Orifice 2000 activity.;BD BackOrifice 2000 Activity
20116;High;These signatures detect Back Orifice activity.;BD BackOrifice Activity
20117;High;This signature detects Deep Throat trojan activity.;BD DeepThroat Activity (Server)
20118;High;This signature detects Deep Throat trojan activity.;BD DeepThroat Activity (Client)
20119;High;This signatures detects NetBus activity.;System Infected: BD NetBus Activity
20120;High;This signature detects Backdoor Alvgus activity.;BD Alvgus
20121;High;This signature detects Backdoor Amanda activity.;BD Amanda
20122;High;This signature detects Backdoor AOL Admin activity.;BD AOL Admin
20123;High;This signature detects Backdoor B.F Evolution activity.;BD B.F Evolution
20124;High;This signature detects Backdoor Backage 3.1.1 activity.;BD Backage 3.1.1
20125;High;This signature detects Backdoor Backdoor 2.0.1 activity.;BD Backdoor 2.0.1
20126;High;This signature detects Backdoor Backdoor 2.0.2 activity.;BD Backdoor 2.0.2
20127;High;This signature detects Backdoor Basic hell 1.0 activity.;BD Basic Hell 1.0
20128;High;This signature detects Backdoor BDDT activity.;BD BDDT
20129;High;This signature detects Backdoor Blaaaaa 2.0 activity.;BD Blaaaaa 2.0
20130;High;This signature detects Backdoor Blade runner 0.80a activity.;BD Blade Runner 0.80a
20131;High;This signature detects Backdoor Blazer5 activity.;BD Blazer5
20132;High;This signature detects Backdoor Breach 4.5 activity.;BD Breach 4.5
20133;High;This signature detects Backdoor Breach pro activity.;BD Breach Pro
20134;High;This signature detects Backdoor Buschtrommel 1.0 activity.;BD Buschtrommel 1.0
20135;High;This signature detects Backdoor Buttman 0.9 activity.;BD Buttman 0.9
20136;High;This signature detects Backdoor CAFEiN 0.8 activity.;BD CAFEiN 0.8
20137;High;This signature detects Backdoor Celine activity.;BD Celine
20138;High;This signature detects Backdoor Cero b1 activity.;BD Cero b1
20139;High;This signature detects Backdoor CGi BioNet 0.84 activity.;BD CGI BioNet 0.84
20140;High;This signature detects Backdoor Connection activity.;BD Connection
20141;High;This signature detects Backdoor Crack down 1.0 activity.;BD Crack Down 1.0
20142;High;This signature detects Backdoor Crazzynet activity.;BD Crazzynet
20143;High;This signature detects Backdoor Danton 1.2 activity.;BD Danton 1.2
20144;High;This signature detects Backdoor Dark connection 1.2 activity.;BD Dark Connection 1.2
20145;High;This signature detects Backdoor DFch 1b1 activity.;BD DFch 1b1
20146;High;This signature detects Backdoor Digital Rootbeer activity.;BD Digital Rootbeer
20147;High;This signature detects Backdoor Dolly 1.5 activity.;BD Dolly 1.5
20148;High;This signature detects Backdoor Dolly 1.7 activity.;BD Dolly 1.7
20149;High;This signature detects Backdoor Drat 1.0 activity.;BD Drat 1.0
20150;High;This signature detects Backdoor Duddie 2.0 activity.;BD Duddie 2.0
20151;High;This signature detects Backdoor Duddie 3.1 activity.;BD Duddie 3.1
20152;High;This signature detects Backdoor Duddie 3.2 activity.;BD Duddie 3.2
20153;High;This signature detects Backdoor Duddie activity.;BD Duddie
20154;High;This signature detects Backdoor Eclypse 1.0 activity.;BD Eclypse 1.0
20155;High;This signature detects Backdoor EventHorizon activity.;BD EventHorizon
20156;High;This signature detects Backdoor Exploiter 1.0 activity.;BD Exploiter 1.0
20157;High;This signature detects Backdoor F-Backdoor 0.8 activity.;BD F-Backdoor 0.8
20158;High;This signature detects Backdoor Forced entry 1.1 activity.;BD Forced Entry 1.1
20159;High;This signature detects Backdoor Frenzy 1.0.1 activity.;BD Frenzy 1.0.1
20160;High;This signature detects Backdoor Gate crasher 1.2 activity.;BD Gate Crasher 1.2
20161;High;This signature detects Backdoor Ghost 2.2 activity.;BD Ghost 2.2
20162;High;This signature detects Backdoor Gift 2.5 activity.;BD Gift 2.5
20163;High;This signature detects Backdoor GirlFriend 1.3 activity.;BD GirlFriend 1.3
20164;High;This signature detects Backdoor G-Spot tight 1.5 activity.;BD G-Spot Tight 1.5
20165;High;This signature detects Backdoor Hackers world 2.0.3 activity.;BD Hackers World 2.0.3
20166;High;This signature detects Backdoor Hellz addiction 1.20e activity.;BD Hellz Addiction 1.20e
20167;High;This signature detects Backdoor Host control 2.5 activity.;BD Host Control 2.5
20168;High;This signature detects Backdoor InCommand 1.0-1.4 activity.;BD InCommand 1.0
20169;High;This signature detects Backdoor Infector 1.0 activity.;BD Infector 1.0
20170;High;This signature detects Backdoor Infector 1.4 activity.;BD Infector 1.4
20171;High;This signature detects Backdoor Infra trojan activity.;BD Infra Trojan
20172;High;This signature detects Backdoor Insane 4.0 activity.;BD Insane 4.0
20173;High;This signature detects Backdoor Insane 5.0 activity.;BD Insane 5.0
20174;High;This signature detects Backdoor Remote revise 1.5 activity.;BD Remote Revise 1.5
20175;High;This signature detects Backdoor Internalrevise 1.0 activity.;BD Internalrevise 1.0
20176;High;This signature detects Backdoor Intruder 1.0 activity.;BD Intruder 1.0
20177;High;This signature detects Backdoor Intruzzo activity.;BD Intruzzo
20178;High;This signature detects Backdoor Kid terror 1.0 activity.;BD Kid Terror 1.0
20179;High;This signature detects Backdoor Latinus 1.0 activity.;BD Latinus 1.0
20180;High;This signature detects Backdoor Latinus 1.3 activity.;BD Latinus 1.3
20181;High;This signature detects Backdoor Le Guardien 1.0 activity.;BD Le Guardien 1.0
20182;High;This signature detects Backdoor Leszcz 5.5 activity.;BD Leszcz 5.5
20183;High;This signature detects Backdoor M2 trojan 1.25 activity.;BD M2 Trojan 1.25
20184;High;This signature detects Backdoor Mantis 1.0 activity.;BD Mantis 1.0
20185;High;This signature detects Backdoor Massaker 1.0 activity.;BD Massaker 1.0
20186;High;This signature detects Backdoor Mavericks Matrix 1.0 activity.;BD Mavericks Matrix 1.0
20187;High;This signature detects Backdoor Meet the Lamer 1.0 activity.;BD Meet the Lamer 1.0
20188;High;This signature detects Backdoor Michal 5.00 activity.;BD Michal 5.00
20189;High;This signature detects Backdoor Microspy 1.0 activity.;BD Microspy 1.0
20190;High;This signature detects Backdoor Millenium 1.0 activity.;BD Millenium 1.0
20191;High;This signature detects Backdoor Mini Oblivion 0.1 activity.;BD Mini Oblivion 0.1
20192;High;This signature detects Backdoor MNEAH trojan 1.0 activity.;BD MNEAH Trojan 1.0
20193;High;This signature detects Backdoor Moon Pie 1.0 activity.;BD Moon Pie 1.0
20194;High;This signature detects Backdoor Moon Pie 3.0 activity.;BD Moon Pie 3.0
20195;High;This signature detects Backdoor Net Administrator 1.0 activity.;BD Net Administrator 1.0
20196;High;This signature detects Backdoor Net Devil 1.0 activity.;BD Net Devil 1.0
20197;High;This signature detects Backdoor Net Raider 0.0 activity.;BD Net Raider 0.0
20198;High;This signature detects Backdoor Net Spy 2.0 activity.;BD Net Spy 2.0
20199;High;This signature detects Backdoor NetSphere 1.27 activity.;BD NetSphere 1.27
20200;High;This signature detects Backdoor NetTaxi 1.8 activity.;BD NetTaxi 1.8
20201;High;This signature detects Backdoor Network terrorist 1.31 activity.;BD Network Terrorist 1.31
20202;High;This signature detects Backdoor NokNok 5.0 activity.;BD NokNok 5.0
20203;High;This signature detects Backdoor NokNok 7.0 activity.;BD NokNok 7.0
20204;High;This signature detects Backdoor NoSecure 1.2 activity.;BD NoSecure 1.2
20205;High;This signature detects Backdoor Oblivion 0.1 activity.;BD Oblivion 0.1
20206;High;This signature detects Backdoor NetTrash 1.01 and Olive 2.4 activity.;BD NetTrash 1.01
20208;High;This signature detects Backdoor Optix pro 1.0 activity.;BD Optix Pro 1.0
20209;High;This signature detects Backdoor Oxon 1.1 activity.;BD Oxon 1.1
20210;High;This signature detects Backdoor PC Invader 0.5 activity.;BD PC Invader 0.5
20211;High;This signature detects Backdoor PC Invader 1.0 activity.;BD PC Invader 1.0
20212;High;This signature detects Backdoor Pest 1.0 activity.;BD Pest 1.0
20213;High;This signature detects Backdoor Phase Zero 1.0 activity.;BD Phase Zero 1.0
20214;High;This signature detects Backdoor Phoenix 1.28 activity.;BD Phoenix 1.28
20215;High;This signature detects Backdoor Pitfall activity.;BD Pitfall
20216;High;This signature detects Backdoor Pitfall Surprise activity.;BD Pitfall Surprise
20217;High;This signature detects Backdoor Prayer 1.2 activity.;BD Prayer 1.2
20218;High;This signature detects Backdoor Priority activity.;BD Priority
20219;High;This signature detects Backdoor Progenic trojan 1.0 activity.;BD Progenic Trojan 1.0
20220;High;This signature detects Backdoor Project next 0.5.3 activity.;BD Project Next 0.5.3
20221;High;This signature detects Backdoor Prosiak 0.47 activity.;BD Prosiak 0.47
20222;High;This signature detects Backdoor Prosiak 0.65 activity.;BD Prosiak 0.65
20223;High;This signature detects Backdoor Psychward 1.0 activity.;BD Psychward 1.0
20224;High;This signature detects Backdoor Qwertos RAT 0.2 activity.;BD Qwertos RAT 0.2
20225;High;This signature detects Backdoor R0xr4t 1.0 activity.;BD R0xr4t 1.0
20226;High;This signature detects Backdoor R3C activity.;BD R3C
20227;High;This signature detects Backdoor RatHead 2.01 activity.;BD RatHead 2.01
20228;High;This signature detects Backdoor Remote boot tool 1.0 activity.;BD Remote Boot Tool 1.0
20229;High;This signature detects Backdoor Remote hack 1.2 activity.;BD Remote Hack 1.2
20230;High;This signature detects Backdoor Remote hack 1.3 activity.;BD Remote Hack 1.3
20231;High;This signature detects Backdoor Remote revise 1.0 activity.;BD Remote Revise 1.0
20232;High;This signature detects Backdoor Remote revise 1.15 activity.;BD Remote Revise 1.15
20233;High;This signature detects Backdoor Revenger 1.0 activity.;BD Revenger 1.0
20234;High;This signature detects Backdoor Ruler 1.41 activity.;BD Ruler 1.41
20235;High;This signature detects Backdoor RUX the tick 4.0 activity.;BD RUX the Tick 4.0
20236;High;This signature detects Backdoor Satans backdoor 2.0 activity.;BD Satan 2.0
20237;High;This signature detects Backdoor Scarab 1.2 activity.;BD Scarab 1.2
20238;High;This signature detects Backdoor SchneckenKorn activity.;BD SchneckenKorn
20239;High;This signature detects Backdoor Tcc trojan 0.90 activity.;BD Tcc Trojan 0.90
20240;High;This signature detects Backdoor The flu activity.;BD The Flu
20241;High;This signature detects Backdoor The unexplained 1.0 activity.;BD The Unexplained 1.0
20242;High;This signature detects Backdoor Thing 1.1 activity.;BD Thing 1.1
20243;High;This signature detects Backdoor Thing 1.6 activity.;BD Thing 1.6
20244;High;This signature detects Backdoor TransScout 1.1 activity.;BD TransScout 1.1
20245;High;This signature detects Backdoor Trojan cow 1.0 activity.;BD Trojan Cow 1.0
20246;High;This signature detects Backdoor Trojan spirit 2001 1.2 activity.;BD Trojan Spirit 2001 1.2
20247;High;This signature detects Backdoor Tron activity.;BD Tron
20248;High;This signature detects Backdoor Truva 1.2 activity.;BD Truva 1.2
20249;High;This signature detects Backdoor Ullysse activity.;BD Ullysse
20250;High;This signature detects Backdoor Ultors activity.;BD Ultors
20251;High;This signature detects Backdoor Undetected 2.3 SE activity.;BD Undetected 2.3 SE
20252;High;This signature detects Backdoor Undetected 3.3 activity.;BD Undetected 3.3
20253;High;This signature detects Backdoor Uploader activity.;BD Uploader
20254;High;This signature detects Backdoor Vagr nocker 1.2 activity.;BD Vagr Nocker 1.2
20255;High;This signature detects Backdoor Vampire 1.2 activity.;BD Vampire 1.2
20256;High;This signature detects Backdoor Voodoo doll activity.;BD Voodoo Doll
20257;High;This signature detects Backdoor Webservect 1.0 activity.;BD Webservect 1.0
20258;High;This signature detects Backdoor WinCrash 1.03 activity.;BD WinCrash 1.03
20259;High;This signature detects Backdoor WinCrash 2.0 activity.;BD WinCrash 2.0
20260;High;This signature detects Backdoor Windows Mite 1.0 activity.;BD Windows Mite 1.0
20261;High;This signature detects Backdoor Xanadu 1.0 activity.;BD Xanadu 1.0
20262;High;This signature detects Backdoor Xanadu 1.11 activity.;BD Xanadu 1.11
20263;High;This signature detects Backdoor Xlog 2.2 activity.;BD Xlog 2.2
20264;High;This signature detects Backdoor Y3K RAT 1.1 activity.;BD Y3K RAT 1.1
20265;High;This signature detects Backdoor YAT 2.1 activity.;BD YAT 2.1
20266;High;This signature detects Backdoor YAT 3.01 activity.;BD YAT 3.01
20267;High;This signature detects Backdoor Asylum activity.;BD Asylum
20268;High;This signature detects Backdoor BackConstruction 1.2 activity.;BD BackConstruction 1.2
20269;High;This signature detects Backdoor BackConstruction 1.5 activity.;BD BackConstruction 1.5
20270;High;This signature detects Backdoor BackConstruction 2.1 activity.;BD BackConstruction 2.1
20271;High;This signature detects Backdoor BackConstruction 2.5 activity.;BD BackConstruction 2.5
20272;High;This signature detects Backdoor Balsitix activity.;BD Balsitix
20273;High;This signature detects Backdoor Bigorna 1.0 activity.;BD Bigorna 1.0
20274;High;This signature detects Backdoor Black Angel 1.3 activity.;BD Black Angel 1.3
20275;High;This signature detects Backdoor Cyn 1.0.1 activity.;BD Cyn 1.0.1
20276;High;This signature detects Backdoor Dolly 1.6 activity.;BD Dolly 1.6
20277;High;This signature detects Backdoor Dolly 2 activity.;BD Dolly 2.0
20278;High;This signature detects Backdoor Executor activity.;BD Executor
20279;High;This signature detects Backdoor Last2000 activity.;BD Last 2000
20280;High;This signature detects Backdoor Netcontroller activity.;BD Netcontroller
20281;High;This signature detects Backdoor New silencer activity.;BD New Silencer
20282;High;This signature detects Backdoor Nirvana 1.94 activity.;BD Nirvana 1.94
20283;High;This signature detects Backdoor Nirvana 1.95 activity.;BD Nirvana 1.95
20284;High;This signature detects Backdoor Nirvana 1.99 activity.;BD Nirvana 1.99
20285;High;This signature detects Backdoor NokNok 6.0 activity.;BD NokNok 6.0
20286;High;This signature detects Backdoor One 0.1 activity.;BD One 0.1
20287;High;This signature detects Backdoor Private port 1.0 activity.;BD Private Port 1.0
20288;High;This signature detects Backdoor Remote process monitor 1.o activity.;BD Remote Process Monitor 1.0
20289;High;This signature detects Backdoor Ripperz controller 1.1 activity.;BD Ripperz Controller 1.1
20290;High;This signature detects Backdoor War trojan activity.;BD War Trojan
20291;High;This signature detects Backdoor Wow23 0.3 activity.;BD Wow 23 0.3
20292;High;This signature detects Backdoor Y3K RAT 1.6 activity.;BD Y3K RAT 1.6
20293;High;This signature detects Backdoor DTr 1.4.2 activity.;BD DTR 1.4.2
20294;High;This signature detects Backdoor Bugs activity.;BD Bugs
20295;High;This signature detects Backdoor CGi BioNet 2.6.1a activity.;BD CGI BioNet 2.6.1a
20296;High;This signature detects Backdoor Chupacabra activity.;BD Chupacabra
20297;High;This signature detects Backdoor DeltaSource 0.7 activity.;BD DeltaSource 0.7
20298;High;This signature detects Backdoor Donald Dick 1.52 activity.;BD Donald Dick 1.52
20299;High;This signature detects Backdoor File nail activity.;BD File Nail
20300;High;This signature detects Backdoor Fore 1.0 activity.;BD Fore 1.0
20301;High;This signature detects Backdoor Frenzy 2000 v3 activity.;BD Frenzy 2000 3.0
20302;High;This signature detects Backdoor Glacier 2.2 activity.;BD Glacier 2.2
20303;High;This signature detects Backdoor Hydroleak activity.;BD Hydroleak
20304;High;This signature detects Backdoor Konik 0.6b activity.;BD Konik 0.6b
20305;High;This signature detects Backdoor Kuang 2 activity.;BD Kuang 2.0
20306;High;This signature detects Backdoor Latinus 1.2 activity.;BD Latinus 1.2
20307;High;This signature detects Backdoor Latinus 1.4 activity.;BD Latinus 1.4
20308;High;This signature detects Backdoor Lithium 1.0 activity.;BD Lithium 1.0
20309;High;This signature detects Backdoor Masters of Paradise activity.;BD Masters of Paradise
20310;High;This signature detects Backdoor Mini Asylum 1.1 activity.;BD Mini Asylum 1.1
20311;High;This signature detects Backdoor Mosuck 1.1 activity.;BD Mosuck 1.1
20312;High;This signature detects Backdoor Mosucker 1.0 activity.;BD Mosucker 1.0
20313;High;This signature detects Backdoor Mosuck 2.0 activity.;BD Mosuck 2.0
20314;High;This signature detects Backdoor Net Metropolitan 1.0 activity.;BD Net Metropolitan 1.0
20315;High;This signature detects Backdoor Net Metropolitan 1.04 activity.;BD Net Metropolitan 1.04
20316;High;This signature detects Backdoor NetBus Pro 2.0 activity.;BD NetBus Pro 2.0
20317;High;This signature detects Backdoor NetTrash 1.0 activity.;BD NetTrash 1.0
20318;High;This signature detects Backdoor Osiris v2.0 activity.;BD Osiris 2.0
20319;High;This signature detects Backdoor OOTLT activity.;BD OOTLT
20320;High;This signature detects Backdoor Psychward activity.;BD Psychward
20321;High;This signature detects Backdoor School Bus 1.60 activity.;BD School Bus 1.6
20322;High;This signature detects Backdoor WinRAT 1.0S activity.;BD WinRAT 1.0
20323;High;The NIDS engine detected an attempt to use the backdoor of the W32.Bugbear.B Worm.;BugBear B Worm Backdoor Usage
20324;High;This signature detects the attempt to overflow a buffer in various servers accepting HTTP connections.;HTTP Chunked Encoding Negative Length BO
20326;High;The Microsoft WebDAV component that is included with IIS installed on Windows 2000 is prone to a buffer overflow. Code execution is possible.;HTTP IIS Webdav Exploit
20327;Medium;The info2www CGI script allows remote file access or remote command execution.;HTTP Info2www CGI Command Exec
20328;Medium;This signature detects an attempt to execute arbitrary commands using Matt Wright's FormMail CGI program.;HTTP FormMail Cmd Exec
20329;Medium;This signatures detects a request made to the Count CGI program.;HTTP CGI Count BO
20330;High;This signature detects attempts to exploit a buffer overflow vulnerability in IIS. This vulnerability is used by the Code Red worm.;Web Attack: IIS ISAPI Extension (Code Red) CVE-2001-0500
20331;Medium;This signature detects attempts to exploit the Htgrep CGI Arbitrary File Viewing Vulnerability.;Web Attack: Htgrep CGI Unauthorized File Access CVE-2000-0832
20332;Medium;This signature detects attempts to access the View Source CGI program through HTTP.;Web Attack: SCO Skunkware ViewSrc Directory Traversal CVE-1999-0174
20333;Medium;This signatures detects attempts to access the service.pwd file.;HTTP FrontPage PWD Service Access
20334;Low;This signature detects attempts to exploit a vulnerability in the ISM.dll in IIS 4.0.;Web Attack: ISM DLL Remote Administration CVE-1999-1538
20335;Medium;This signature detects attempts to exploit a vulnerability in the IIS Sqlhit.asp sample file.;Web Attack: Microsoft Index Server 2 Information Disclosure CVE-2001-0986
